Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Customer Paid	Customer Currency	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		9	100	Song	0	EUR	BE	0	0.028441417262
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		113	100	Song	0	EUR	FR	0	0.334312647812
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		25	100	Song	0	EUR	FR	0	0.047903740388
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	SE	0	0.004752129542
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		49	100	Song	0	EUR	CL	0	0.076977362589
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		4	100	Song	0	EUR	SA	0	0.013640908687
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		6	100	Song	0	EUR	TH	0	0.001508594855
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	CL	0	0.000000000000
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	CO	0	0.004623904555
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		6	100	Song	0	EUR	ES	0	0.012639638783
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	IE	0	0.005036454515
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	IT	0	0.004859169532
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		82	100	Song	0	EUR	NL	0	0.231024632757
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	SE	0	0.009355964099
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		8	100	Song	0	EUR	BE	0	0.049268500256
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		33	100	Song	0	EUR	CL	0	0.115387993890
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		108	100	Song	0	EUR	DE	0	0.101304430246
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		34	100	Song	0	EUR	JP	0	0.187423676955
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		4	100	Song	0	EUR	NO	0	0.011272648915
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		16	100	Song	0	EUR	CA	0	0.061388549089
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	FI	0	0.000000000000
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		10	100	Song	0	EUR	FI	0	0.005065444512
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		4	100	Song	0	EUR	NO	0	0.000870814916
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		9	100	Song	0	EUR	PH	0	0.011195713922
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		23	100	Song	0	EUR	FR	0	0.052807509916
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	HU	0	0.001178554887
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		53	100	Song	0	EUR	MX	0	0.055873759620
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		13	100	Song	0	EUR	TW	0	0.000633319939
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		7	100	Song	0	EUR	HK	0	0.034356491692
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		54	100	Song	0	EUR	NO	0	0.231264357734
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		5	100	Song	0	EUR	NL	0	0.009187599115
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		21	100	Song	0	EUR	BE	0	0.011763248867
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		6	100	Song	0	EUR	GR	0	0.000773809925
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		16	100	Song	0	EUR	IT	0	0.098027445562
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		4	100	Song	0	EUR	JP	0	0.025733082522
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		136	100	Song	0	EUR	FR	0	0.752419767556
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		12	100	Song	0	EUR	NO	0	0.030317962081
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		6	100	Song	0	EUR	DK	0	0.002260104782
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		6	100	Song	0	EUR	FR	0	0.032977236825
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		9	100	Song	0	EUR	JP	0	0.021643262916
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		4	100	Song	0	EUR	AU	0	0.014717998583
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	TR	0	0.001654659841
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	CH	0	0.006809304344
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		3	100	Song	0	EUR	NL	0	0.012414408805
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		7	100	Song	0	EUR	AU	0	0.028773687230
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		273	100	Song	0	EUR	DE	0	0.745419798230
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		4	100	Song	0	EUR	ID	0	0.002858859725
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		4	100	Song	0	EUR	TH	0	0.004139994601
